epoch,train_loss,val_loss,precision,recall,f1_score
1,1.8066023727403069,1.6727767825126647,0.5411866015316428,0.48482428115015974,0.4936847218628622
2,1.4805970983783694,1.5793394103646279,0.5710800131794969,0.5215654952076677,0.5094316082261602
3,1.389367295877777,1.3212654709815979,0.5868315782448047,0.547923322683706,0.5414916522258295
4,1.219278583561417,1.5106624312698842,0.5990633178365503,0.5311501597444089,0.5262397596365415
5,1.1504447438421042,1.2185573384165764,0.6174181304458239,0.5830670926517572,0.5806097893412331
6,0.9892501026174448,0.9723418086767197,0.6657457313554775,0.6597444089456869,0.6515913897667943
7,0.9121242152513379,0.9388781785964966,0.7000624112014364,0.6861022364217252,0.6855994213946167
8,0.9041563811963492,1.023651984333992,0.6859846180853224,0.6629392971246006,0.6604916169626929
9,0.8453745663601117,0.8618685774505138,0.7127473864184957,0.7028753993610224,0.6946664994845374
10,0.8236338770302543,0.9871658593416214,0.686509234451995,0.6621405750798722,0.6639344541906999
11,0.7082585707633164,0.7458242360502482,0.7633304251740863,0.7587859424920128,0.7590959588354859
12,0.6694550786140191,0.8199995353817939,0.7372882686772301,0.7292332268370607,0.7257080144679765
13,0.6539494284313091,0.7242204889655113,0.7632599396177295,0.7523961661341853,0.7524003138230931
14,0.6135179367813751,0.7559751965105533,0.7511461686613173,0.7380191693290735,0.7398268880945781
15,0.6118855722194171,0.6850456409156322,0.7703327713422236,0.7675718849840255,0.7663503794130074
16,0.5309766091569497,0.7668506797403097,0.7394096020158799,0.7356230031948882,0.7320301852699023
17,0.52150964758692,0.5862685568630696,0.8099604053919299,0.8083067092651757,0.8067866206952007
18,0.49329229688992465,0.6315033137798309,0.7973747840797818,0.7891373801916933,0.7884089657913546
19,0.49717452415149577,0.6837935782968998,0.7623937090443658,0.7611821086261981,0.7576030478925955
20,0.5014346822769973,0.5763950940221548,0.8089599812024962,0.8067092651757188,0.8050628810077267
21,0.44930555274451733,0.5547002747654914,0.8113766475534694,0.8067092651757188,0.8055596657930922
22,0.42162210238676,0.5784953624010086,0.7992496635741487,0.7963258785942492,0.795247852543284
23,0.3978526666216607,0.5418880343437195,0.830786334535865,0.8226837060702875,0.8233911442822814
24,0.40892086890492124,0.5411996498703957,0.8260047037329687,0.8226837060702875,0.821265720637368
25,0.4114440342370611,0.5497633308172226,0.8258933245525483,0.8250798722044729,0.824064002590163
26,0.3820411020169293,0.5461077526211738,0.8213383247951187,0.8202875399361023,0.818692328482657
27,0.3686026570788265,0.5242170765995979,0.8267221901701628,0.8266773162939297,0.8255198735044091
28,0.3683985433656804,0.5226128332316875,0.832393245826357,0.8314696485623003,0.830903096706889
29,0.3652202781752078,0.5316647535189987,0.8265686544423598,0.8250798722044729,0.8244009378674041
30,0.3602714949715747,0.5042492091655731,0.82411821153227,0.8218849840255591,0.8210393383970703

Total Training Time (minutes):,9.95
