epoch,train_loss,val_loss,precision,recall,f1_score
1,2.5492858068786397,2.342703753709793,0.1887306513600427,0.2915335463258786,0.19192835676834513
2,2.128490341840869,1.9521308481693267,0.3586433631844694,0.4073482428115016,0.32707881904261027
3,1.746368642271,1.4902007184922694,0.5486973480247584,0.5471246006389776,0.490943140919762
4,1.328211315356902,1.0883704617619514,0.6966327537364617,0.6725239616613419,0.6600281592603842
5,0.954868258350957,0.8101693220436573,0.7576164845724029,0.7579872204472844,0.7539247234233954
6,0.7546395515873484,0.7240964092314244,0.77879344965351,0.7755591054313099,0.7735408869379758
7,0.6213601181541917,0.6741473935544491,0.7922994049510819,0.7899361022364217,0.7876713401685809
8,0.5065496429039614,0.5863119762390852,0.8184263721123634,0.8178913738019169,0.8170022012672056
9,0.4496816146547777,0.523723765835166,0.8467908831996509,0.84185303514377,0.8407835887255604
10,0.39130013343626563,0.5423634052276611,0.8287527324987669,0.8266773162939297,0.8255026315390566
11,0.32212231629086235,0.4979500686749816,0.8541857594183464,0.8522364217252396,0.8521895220473925
12,0.2844487115958311,0.4823247451335192,0.8517628127284119,0.8522364217252396,0.8509956855271598
13,0.23621534719301837,0.44016511403024194,0.877958845937682,0.8761980830670927,0.8758001121364095
14,0.19825990737354668,0.43409385047852994,0.8705064750331376,0.8698083067092651,0.8696854408910613
15,0.18372099286448346,0.4279165329411626,0.8803063951486592,0.8777955271565495,0.8780523241040056
16,0.1569749193306822,0.4242076348513365,0.8693980720138432,0.8690095846645367,0.8676080099955408
17,0.13829650714939093,0.41951517658308146,0.8756392983835135,0.8746006389776357,0.8740029330998673
18,0.11407727909947399,0.4197419934440404,0.8815541211280453,0.8817891373801917,0.8812207310531903
19,0.1147033464109158,0.41208591163158415,0.8855564133130773,0.8849840255591054,0.8847171228749027
20,0.09551227316396298,0.41356545221060514,0.8958792579907596,0.8945686900958466,0.8948302587970233
21,0.08844064354189556,0.41726264914032074,0.8870262530893294,0.8865814696485623,0.8863496357827522
22,0.07432350882730127,0.39838278624229134,0.8951450135780329,0.8945686900958466,0.8945794488312476
23,0.06873154556582661,0.4170723078772426,0.8928110451659075,0.8913738019169329,0.8911213473022045
24,0.06486170590739615,0.40429152599535884,0.8938598300535138,0.8921725239616614,0.892596097960741
25,0.05775882099095705,0.4038173436187208,0.8933556680969099,0.8921725239616614,0.8920761720323208
26,0.05755578239795065,0.40407880237326027,0.8971031149269267,0.8961661341853036,0.895938268434712
27,0.053808162695843806,0.4154238474089652,0.8913005194144807,0.889776357827476,0.889580277471825
28,0.055533938585732974,0.4038829604163766,0.8923378956733778,0.8905750798722045,0.8907413607625626
29,0.04943932391988644,0.4074328233022243,0.8997860846322979,0.8985623003194888,0.8985593416589605
30,0.05102172690396109,0.40453175352886317,0.8969040040960885,0.8961661341853036,0.8960282467049705

Total Training Time (minutes):,12.24
